,timestamp,x_A,y_A,roomID_A,roomCategory_A,x_B,y_B,roomID_B,roomCategory_B
0,0,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
1,1,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
2,2,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
3,3,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
4,4,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
5,5,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
6,6,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
7,7,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
8,8,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
9,9,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
10,10,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
11,11,3.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
12,12,2.0,20.0,H_02_20,hallway,4.0,20.0,NS_04_20,nurse_station
13,13,2.0,19.0,H_02_20,hallway,4.0,20.0,NS_04_20,nurse_station
14,14,2.0,18.0,H_02_20,hallway,4.0,20.0,NS_04_20,nurse_station
15,15,2.0,17.0,H_02_14,hallway,4.0,20.0,NS_04_20,nurse_station
16,16,2.0,16.0,H_02_14,hallway,4.0,20.0,NS_04_20,nurse_station
17,17,2.0,15.0,H_02_14,hallway,4.0,20.0,NS_04_20,nurse_station
18,18,2.0,14.0,H_02_14,hallway,4.0,20.0,NS_04_20,nurse_station
19,19,2.0,13.0,H_02_12,hallway,4.0,20.0,NS_04_20,nurse_station
20,20,2.0,12.0,H_02_12,hallway,4.0,20.0,NS_04_20,nurse_station
21,21,2.0,11.0,H_02_12,hallway,4.0,20.0,NS_04_20,nurse_station
22,22,2.0,10.0,H_02_08,hallway,4.0,20.0,NS_04_20,nurse_station
23,23,2.0,9.0,H_02_08,hallway,4.0,20.0,NS_04_20,nurse_station
24,24,2.0,8.0,H_02_08,hallway,4.0,20.0,NS_04_20,nurse_station
25,25,2.0,7.0,H_02_08,hallway,4.0,20.0,NS_04_20,nurse_station
26,26,2.0,6.0,H_02_04,hallway,4.0,20.0,NS_04_20,nurse_station
27,27,2.0,5.0,H_02_04,hallway,4.0,20.0,NS_04_20,nurse_station
28,28,2.0,4.0,H_02_04,hallway,4.0,20.0,NS_04_20,nurse_station
29,29,2.0,3.0,H_02_04,hallway,4.0,20.0,NS_04_20,nurse_station
30,30,2.0,2.0,H_02_00,hallway,4.0,20.0,NS_04_20,nurse_station
31,31,2.0,1.0,H_02_00,hallway,4.0,20.0,NS_04_20,nurse_station
32,32,2.0,0.0,H_02_00,hallway,4.0,20.0,NS_04_20,nurse_station
33,33,1.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
34,34,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
35,35,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
36,36,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
37,37,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
38,38,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
39,39,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
40,40,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
41,41,0.0,0.0,4A_00_00,ward_room,3.0,20.0,NS_04_20,nurse_station
42,42,0.0,0.0,4A_00_00,ward_room,2.0,20.0,H_02_20,hallway
43,43,0.0,0.0,4A_00_00,ward_room,2.0,21.0,H_02_20,hallway
44,44,0.0,0.0,4A_00_00,ward_room,2.0,22.0,H_02_20,hallway
45,45,0.0,0.0,4A_00_00,ward_room,2.0,23.0,H_02_24,hallway
46,46,0.0,0.0,4A_00_00,ward_room,2.0,24.0,H_02_24,hallway
47,47,0.0,0.0,4A_00_00,ward_room,2.0,25.0,H_02_24,hallway
48,48,0.0,0.0,4A_00_00,ward_room,2.0,26.0,H_02_26,hallway
49,49,0.0,0.0,4A_00_00,ward_room,2.0,27.0,H_02_26,hallway
50,50,0.0,0.0,4A_00_00,ward_room,2.0,28.0,H_02_26,hallway
51,51,0.0,0.0,4A_00_00,ward_room,2.0,29.0,H_02_30,hallway
52,52,0.0,0.0,4A_00_00,ward_room,2.0,30.0,H_02_30,hallway
53,53,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
54,54,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
55,55,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
56,56,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
57,57,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
58,58,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
59,59,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
60,60,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
61,61,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
62,62,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
63,63,0.0,0.0,4A_00_00,ward_room,3.0,30.0,Sh_03_30,shelf_of_medicine
64,64,0.0,0.0,4A_00_00,ward_room,2.0,30.0,H_02_30,hallway
65,65,0.0,0.0,4A_00_00,ward_room,2.0,29.0,H_02_30,hallway
66,66,0.0,0.0,4A_00_00,ward_room,2.0,28.0,H_02_26,hallway
67,67,0.0,0.0,4A_00_00,ward_room,2.0,27.0,H_02_26,hallway
68,68,0.0,0.0,4A_00_00,ward_room,2.0,26.0,H_02_26,hallway
69,69,0.0,0.0,4A_00_00,ward_room,2.0,25.0,H_02_24,hallway
70,70,0.0,0.0,4A_00_00,ward_room,2.0,24.0,H_02_24,hallway
71,71,0.0,0.0,4A_00_00,ward_room,2.0,23.0,H_02_24,hallway
72,72,0.0,0.0,4A_00_00,ward_room,2.0,22.0,H_02_20,hallway
73,73,0.0,0.0,4A_00_00,ward_room,2.0,21.0,H_02_20,hallway
74,74,0.0,0.0,4A_00_00,ward_room,2.0,20.0,H_02_20,hallway
75,75,0.0,0.0,4A_00_00,ward_room,2.0,19.0,H_02_20,hallway
76,76,0.0,0.0,4A_00_00,ward_room,2.0,18.0,H_02_20,hallway
77,77,0.0,0.0,4A_00_00,ward_room,2.0,17.0,H_02_14,hallway
78,78,0.0,0.0,4A_00_00,ward_room,2.0,16.0,H_02_14,hallway
79,79,0.0,0.0,4A_00_00,ward_room,2.0,15.0,H_02_14,hallway
80,80,0.0,0.0,4A_00_00,ward_room,2.0,14.0,H_02_14,hallway
81,81,0.0,0.0,4A_00_00,ward_room,2.0,13.0,H_02_12,hallway
82,82,0.0,0.0,4A_00_00,ward_room,2.0,12.0,H_02_12,hallway
83,83,0.0,0.0,4A_00_00,ward_room,2.0,11.0,H_02_12,hallway
84,84,0.0,0.0,4A_00_00,ward_room,2.0,10.0,H_02_08,hallway
85,85,0.0,0.0,4A_00_00,ward_room,2.0,9.0,H_02_08,hallway
86,86,0.0,0.0,4A_00_00,ward_room,2.0,8.0,H_02_08,hallway
87,87,0.0,0.0,4A_00_00,ward_room,2.0,7.0,H_02_08,hallway
88,88,0.0,0.0,4A_00_00,ward_room,2.0,6.0,H_02_04,hallway
89,89,0.0,0.0,4A_00_00,ward_room,2.0,5.0,H_02_04,hallway
90,90,0.0,0.0,4A_00_00,ward_room,2.0,4.0,H_02_04,hallway
91,91,0.0,0.0,4A_00_00,ward_room,2.0,3.0,H_02_04,hallway
92,92,0.0,0.0,4A_00_00,ward_room,2.0,2.0,H_02_00,hallway
93,93,0.0,0.0,4A_00_00,ward_room,2.0,1.0,H_02_00,hallway
94,94,0.0,0.0,4A_00_00,ward_room,2.0,0.0,H_02_00,hallway
95,95,0.0,0.0,4A_00_00,ward_room,1.0,0.0,4A_00_00,ward_room
96,96,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
97,97,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
98,98,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
99,99,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
100,100,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
101,101,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
102,102,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
103,103,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
104,104,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
105,105,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
106,106,0.0,0.0,4A_00_00,ward_room,0.0,0.0,4A_00_00,ward_room
107,107,0.0,0.0,4A_00_00,ward_room,1.0,0.0,4A_00_00,ward_room
108,108,0.0,0.0,4A_00_00,ward_room,2.0,0.0,H_02_00,hallway
